Water,County,Region,Date,GearCd,IF_Key,Length,Weight,SpeciesCd,Name,Age,IF_ID,NYTME,NYTMN,Altitude
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445329,368,450,626,Walleye,3,445329,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445328,331,310,626,Walleye,2,445328,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445317,383,510,626,Walleye,4,445317,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445314,456,990,626,Walleye,6,445314,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445330,355,410,626,Walleye,2,445330,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445316,460,920,626,Walleye,6,445316,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445367,386,510,626,Walleye,4,445367,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445318,342,360,626,Walleye,2,445318,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445319,343,350,626,Walleye,2,445319,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445320,387,540,626,Walleye,4,445320,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445315,386,540,626,Walleye,4,445315,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,444919,479,1080,626,Walleye,7,444919,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,444918,463,980,626,Walleye,5,444918,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,444930,405,610,626,Walleye,5,444930,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,444931,473,1040,626,Walleye,5,444931,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,444948,471,960,626,Walleye,6,444948,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,444933,498,1100,626,Walleye,7,444933,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,444934,431,680,626,Walleye,5,444934,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,444945,409,645,626,Walleye,5,444945,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,444946,396,675,626,Walleye,5,444946,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,444932,449,895,626,Walleye,6,444932,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,444927,493,1010,626,Walleye,5,444927,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,444949,403,600,626,Walleye,3,444949,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445369,410,620,626,Walleye,5,445369,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445368,425,760,626,Walleye,5,445368,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445366,456,810,626,Walleye,7,445366,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,444947,394,520,626,Walleye,3,444947,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445394,448,870,626,Walleye,6,445394,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,444928,423,690,626,Walleye,5,444928,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,444970,346,350,626,Walleye,3,444970,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,444971,323,320,626,Walleye,2,444971,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,444972,319,290,626,Walleye,2,444972,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,444929,443,800,626,Walleye,6,444929,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,444920,495,1250,626,Walleye,6,444920,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,444921,488,1100,626,Walleye,5,444921,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,444926,471,1025,626,Walleye,7,444926,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445524,178,45,626,Walleye,0,445524,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445522,186,40,626,Walleye,0,445522,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445593,482,1060,626,Walleye,7,445593,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445550,274,270,617,Yellow Perch,5,445550,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445564,271,260,617,Yellow Perch,5,445564,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445594,438,810,626,Walleye,6,445594,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445590,422,670,626,Walleye,4,445590,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445589,406,550,626,Walleye,3,445589,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445580,289,310,617,Yellow Perch,4,445580,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445595,493,1070,626,Walleye,9,445595,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445568,372,415,626,Walleye,2,445568,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445567,361,385,626,Walleye,2,445567,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445588,411,680,626,Walleye,5,445588,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445516,175,55,617,Yellow Perch,2,445516,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445519,170,45,617,Yellow Perch,2,445519,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445535,261,245,617,Yellow Perch,5,445535,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445523,183,40,626,Walleye,0,445523,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445537,261,230,617,Yellow Perch,4,445537,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445525,187,65,626,Walleye,0,445525,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445526,172,35,626,Walleye,0,445526,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445530,222,130,617,Yellow Perch,3,445530,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445531,260,340,617,Yellow Perch,3,445531,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445520,183,70,617,Yellow Perch,2,445520,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445642,523,1350,626,Walleye,7,445642,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445607,263,290,617,Yellow Perch,4,445607,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445641,430,780,626,Walleye,5,445641,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445623,441,760,626,Walleye,4,445623,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445624,398,540,626,Walleye,4,445624,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445625,408,610,626,Walleye,4,445625,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445639,423,730,626,Walleye,6,445639,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445629,314,350,617,Yellow Perch,6,445629,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445638,414,740,626,Walleye,4,445638,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445631,298,330,617,Yellow Perch,8,445631,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445575,300,360,617,Yellow Perch,5,445575,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445576,274,270,617,Yellow Perch,4,445576,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445587,402,550,626,Walleye,4,445587,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445570,373,420,626,Walleye,3,445570,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445599,192,80,617,Yellow Perch,2,445599,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445602,168,50,617,Yellow Perch,2,445602,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445619,265,250,617,Yellow Perch,4,445619,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445611,429,700,626,Walleye,6,445611,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445610,393,530,626,Walleye,3,445610,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445569,376,410,626,Walleye,2,445569,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445511,187,60,617,Yellow Perch,2,445511,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445428,241,120,626,Walleye,1,445428,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445427,357,450,626,Walleye,2,445427,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445426,330,340,626,Walleye,2,445426,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445498,480,1010,626,Walleye,5,445498,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445499,480,1000,626,Walleye,5,445499,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445487,378,530,626,Walleye,3,445487,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445540,368,400,626,Walleye,2,445540,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445541,271,160,626,Walleye,1,445541,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445542,298,210,626,Walleye,1,445542,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445543,346,380,626,Walleye,2,445543,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445544,411,590,626,Walleye,4,445544,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445553,287,330,617,Yellow Perch,4,445553,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445554,268,300,617,Yellow Perch,4,445554,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445557,278,300,617,Yellow Perch,4,445557,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445558,263,250,617,Yellow Perch,4,445558,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445561,241,180,617,Yellow Perch,3,445561,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445448,428,720,626,Walleye,4,445448,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445447,346,400,626,Walleye,2,445447,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445539,352,360,626,Walleye,2,445539,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445410,332,360,626,Walleye,2,445410,4995,47402,1270
Canadarago Lake,Otsego,4,9/6/2001 0:00:00,4G0189,445586,288,340,617,Yellow Perch,8,445586,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444821,309,405,617,Yellow Perch,8,444821,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444805,490,1080,626,Walleye,6,444805,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444875,237,190,617,Yellow Perch,4,444875,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444872,320,370,617,Yellow Perch,6,444872,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444869,320,260,626,Walleye,2,444869,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444806,428,670,626,Walleye,5,444806,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444899,303,240,626,Walleye,2,444899,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444815,270,310,617,Yellow Perch,4,444815,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444818,265,280,617,Yellow Perch,4,444818,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444826,280,330,617,Yellow Perch,5,444826,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444847,385,490,626,Walleye,4,444847,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,445208,357,420,626,Walleye,3,445208,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444903,154,50,617,Yellow Perch,2,444903,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444895,244,235,617,Yellow Perch,4,444895,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444844,314,280,626,Walleye,3,444844,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444898,225,160,617,Yellow Perch,3,444898,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444797,498,1210,626,Walleye,7,444797,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444729,287,190,626,Walleye,2,444729,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444771,403,520,626,Walleye,4,444771,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444789,453,800,626,Walleye,8,444789,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444769,432,650,626,Walleye,7,444769,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444798,318,255,626,Walleye,2,444798,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444770,396,510,626,Walleye,4,444770,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444868,387,530,626,Walleye,3,444868,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444849,322,280,626,Walleye,2,444849,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444848,313,230,626,Walleye,2,444848,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444833,261,260,617,Yellow Perch,4,444833,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444887,219,160,617,Yellow Perch,3,444887,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444884,263,225,617,Yellow Perch,4,444884,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444864,260,250,617,Yellow Perch,4,444864,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444858,244,190,617,Yellow Perch,5,444858,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444913,157,35,617,Yellow Perch,2,444913,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444836,295,350,617,Yellow Perch,6,444836,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444843,339,310,626,Walleye,2,444843,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444911,193,100,617,Yellow Perch,2,444911,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444845,390,470,626,Walleye,3,444845,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444846,315,245,626,Walleye,2,444846,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444917,605,2370,626,Walleye,8,444917,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444866,310,250,626,Walleye,3,444866,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444839,390,530,626,Walleye,4,444839,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,445014,304,240,626,Walleye,2,445014,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,445054,316,275,626,Walleye,2,445054,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,445254,229,105,626,Walleye,1,445254,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,445134,477,1020,626,Walleye,5,445134,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,445111,497,1150,626,Walleye,8,445111,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,445112,479,1080,626,Walleye,7,445112,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,445113,474,1020,626,Walleye,5,445113,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,445137,366,430,626,Walleye,3,445137,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,445117,450,780,626,Walleye,4,445117,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,445119,422,780,626,Walleye,3,445119,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,445120,431,740,626,Walleye,5,445120,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,445121,426,695,626,Walleye,4,445121,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,445123,423,640,626,Walleye,5,445123,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,445116,422,710,626,Walleye,5,445116,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,445122,479,880,626,Walleye,5,445122,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,445138,420,680,626,Walleye,4,445138,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,445118,414,640,626,Walleye,5,445118,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,445136,430,705,626,Walleye,4,445136,4995,47402,1270
Canadarago Lake,Otsego,4,7/3/2001 0:00:00,4G0189,445135,441,945,626,Walleye,4,445135,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10179,70,NA,617,Yellow Perch,0,10179,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10180,79,NA,617,Yellow Perch,0,10180,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10181,70,NA,617,Yellow Perch,0,10181,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10159,172,NA,617,Yellow Perch,2,10159,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10185,65,NA,617,Yellow Perch,0,10185,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10177,172,NA,617,Yellow Perch,NA,10177,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10093,82,NA,617,Yellow Perch,0,10093,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10183,72,NA,617,Yellow Perch,0,10183,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10173,405,530,626,Walleye,3,10173,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10074,72,NA,617,Yellow Perch,0,10074,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10091,67,NA,617,Yellow Perch,0,10091,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10090,70,NA,617,Yellow Perch,0,10090,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10089,71,NA,617,Yellow Perch,0,10089,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10087,113,NA,617,Yellow Perch,1,10087,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10084,126,NA,617,Yellow Perch,2,10084,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10077,110,NA,617,Yellow Perch,1,10077,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10075,60,NA,617,Yellow Perch,0,10075,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10283,70,NA,617,Yellow Perch,0,10283,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10175,260,NA,617,Yellow Perch,5,10175,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10073,97,NA,617,Yellow Perch,2,10073,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10082,71,NA,617,Yellow Perch,0,10082,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10120,215,80,626,Walleye,0,10120,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10156,197,NA,617,Yellow Perch,3,10156,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10172,225,80,626,Walleye,0,10172,4995,47402,1270
Canadarago Lake,Otsego,4,10/11/2001 0:00:00,4E0189,10169,545,1680,626,Walleye,8,10169,4995,47402,1270
