infected,N,rain,temp,pop
4,17,0.160784035222605,0.69823034806177,5
9,49,0.249582893680781,0.898049631854519,5
12,23,0.538135609822348,0.544854270992801,5
1,13,0.23270460148342,0.356156963156536,5
14,22,0.747024927986786,0.954435869352892,6
5,12,0.332762875827029,0.856897370191291,6
6,11,0.39417789131403,0.553122719284147,6
30,44,0.681838280055672,0.141537384362891,6
14,19,0.92027580132708,0.626187585294247,6
26,37,0.663807356962934,0.00274564349092543,6
24,45,0.406802744138986,0.212737869936973,6
6,19,0.338228318607435,0.31207687756978,6
22,40,0.74016537098214,0.345143135404214,6
8,31,0.115947172278538,0.497206688160077,6
12,34,0.844318013405427,0.00859410781413317,7
16,47,0.675729045411572,0.339908263878897,7
16,40,0.875015904894099,0.843935187440366,7
6,32,0.0580110831651837,0.689555018907413,7
7,34,0.265594882890582,0.444112592609599,7
9,23,0.667919088387862,0.0456568456720561,7
1,39,0.0158756226301193,0.908293509390205,7
3,37,0.030609467998147,0.748731440166011,7
4,24,0.7596016516909,0.822388066444546,7
3,13,0.245853732572868,0.552474269177765,7
15,34,0.17201263573952,0.103204905753955,8
36,41,0.851150077069178,0.431076743872836,8
10,19,0.246457944391295,0.657856040867046,8
20,22,0.702011299552396,0.845074805431068,8
10,15,0.269846853101626,0.471088928636163,8
22,32,0.317513747373596,0.31355341989547,8
17,20,0.91524177743122,0.590908020269126,8
20,47,0.023867157753557,0.213182030711323,8
17,27,0.438588288612664,0.988523594336584,8
17,37,0.136321954196319,0.0812901929020882,8
16,34,0.302962489891797,0.432349134236574,9
3,10,0.177015131339431,0.327237019548193,9
5,12,0.574186112964526,0.765372971771285,9
10,14,0.448293974157423,0.00382300862111151,9
14,19,0.782551009207964,0.998198160436004,9
15,46,0.357472056057304,0.127674663905054,9
23,49,0.232663484290242,0.159014543052763,9
6,20,0.335296644596383,0.568757628556341,9
14,24,0.808393222279847,0.836277935421094,9
9,11,0.835602384991944,0.470117963384837,9
21,24,0.293509192299098,0.478012983687222,10
16,21,0.873038810444996,0.715746061410755,10
39,46,0.342617376707494,0.784761958755553,10
27,30,0.831459148554131,0.78986460226588,10
9,12,0.114439985482022,0.588347486918792,10
10,11,0.892098980722949,0.0641276095993817,10
24,26,0.836199640994892,0.516678417799994,10
34,45,0.137627945514396,0.739889171905816,10
36,50,0.0540362941101193,0.85207949206233,10
27,28,0.92857472714968,0.939752028789371,10
16,18,0.872448060428724,0.340827558888122,11
13,17,0.676624443847686,0.621813371777534,11
27,40,0.0479038825724274,0.877513194922358,11
29,41,0.566661673830822,0.61838575382717,11
19,36,0.0351109215989709,0.452040050178766,11
34,42,0.623197847278789,0.258170889690518,11
30,49,0.0224377694539726,0.195112912449986,11
16,19,0.733701318036765,0.909915412776172,11
19,27,0.126320969313383,0.657239130930975,11
15,19,0.288482350762933,0.416816614102572,11
25,35,0.640908408211544,0.922368629602715,12
29,37,0.949246967211366,0.0245003676973283,12
30,50,0.386786833871156,0.517630118876696,12
17,43,0.0839910779614002,0.421291318256408,12
19,41,0.29521790635772,0.746695670066401,12
16,21,0.50851613515988,0.894031561212614,12
8,24,0.0378578961826861,0.81175871216692,12
8,17,0.170841648010537,0.717804171377793,12
27,36,0.830311097670346,0.661210280144587,12
15,18,0.506529996171594,0.405484386486933,12
17,39,0.345304650254548,0.999720394145697,13
3,10,0.176316314609721,0.43868166487664,13
22,30,0.976230579428375,0.905836817342788,13
13,31,0.428629768779501,0.659453038824722,13
12,23,0.267453138250858,0.793297777185217,13
17,22,0.976081381784752,0.567581211449578,13
14,29,0.411946580512449,0.061800854280591,13
34,49,0.807628507493064,0.624136365484446,13
9,23,0.0586461268831044,0.799360011005774,13
7,11,0.0882886673789471,0.384378825780004,13
16,16,0.912072807084769,0.800873363157734,14
28,28,0.801907227374613,0.397162190638483,14
43,44,0.775706908432767,0.03752905363217,14
24,24,0.526956562651321,0.604704630095512,14
18,22,0.0957863053772599,0.0620429439004511,14
43,43,0.800941417459399,0.213435791665688,14
37,40,0.553996073547751,0.798302841372788,14
37,42,0.8540474481415,0.891550898784772,14
17,19,0.26464783353731,0.580937432125211,14
37,43,0.104395368369296,0.71754664904438,14
30,49,0.0362866774667054,0.00616943137720227,15
12,12,0.956422099843621,0.368542039534077,15
16,20,0.982259253738448,0.153207859024405,15
19,36,0.0263825443107635,0.36886006500572,15
13,15,0.0186850996688008,0.68861410417594,15
9,11,0.939797402359545,0.396365928230807,15
35,49,0.428266854723915,0.290571057470515,15
20,29,0.040963573846966,0.98621049686335,15
24,28,0.916868287837133,0.516155504155904,15
35,44,0.858710516477004,0.621466376120225,15
18,27,0.230203277664259,0.36802725517191,16
18,22,0.863724932540208,0.700571644119918,16
24,25,0.841810023412108,0.842157156905159,16
22,29,0.504551005084068,0.180161862866953,16
14,22,0.540920527884737,0.98939639958553,16
21,31,0.163366596680135,0.438446453539655,16
28,31,0.831122579285875,0.426107089966536,16
16,26,0.54317702469416,0.374736731639132,16
27,32,0.902867398457602,0.662408905103803,16
26,39,0.395857082679868,0.797927706735209,16
